Specialty,Specialty Code,Package Name,Procedure Code,Procedure Name,Procedure Price
Burns Management,BM,Electrical contact burns,BM004A,"Electrical contact burns: Low voltage - without part of limb / limb loss; Includes % TBSA skin grafted, flap cover, follow-up dressings etc. as deemed necessary; Surgical procedures are required for deep burns that are not amenable to heal with dressings alone.",30000
Burns Management,BM,Electrical contact burns,BM004B,"Electrical contact burns: Low voltage - with part of limb / limb loss; Includes % TBSA skin grafted, flap cover, follow-up dressings Amputation  etc. as deemed necessary; Surgical procedures are required for deep burns that are not amenable to heal with dressings alone.",40000
Burns Management,BM,Electrical contact burns,BM004C,"Electrical contact burns: High voltage - with part of limb / limb loss; Includes % TBSA skin grafted, flap cover,fasciotomy +/- /amputation/Central IV Line/debridement/early skin grafting pedicle or free flap coverage,follow-up dressings etc. as deemed necessary; Surgical procedures are required for deep burns that are not amenable to heal with dressings alone.",60000
Burns Management,BM,Electrical contact burns,BM004D,"Electrical contact burns: High voltage - without part of limb / limb loss; Includes % TBSA skin grafted, flap cover, fasciotomy +/- /debridement/early skin grafting/flap cover: pedicle or free flap coverage,follow-up dressings etc. as deemed necessary; Surgical procedures are required for deep burns that are not amenable to heal with dressings alone.",50000
Burns Management,BM,Chemical burns,BM005A,"Chemical burns: Without significant facial scarring and/or loss of function; Includes % TBSA skin grafted, flap cover, follow-up dressings etc. as deemed necessary; Surgical procedures are required for deep burns that are not amenable to heal with dressings alone.(Similar to therma burns
require more grafting, debridement,(skin grafing/canthopexy)",40000
Burns Management,BM,Chemical burns,BM005B,"Chemical burns: With significant facial scarring and/or loss of function; Includes % TBSA skin grafted, flap cover,debridement,skin grafting,follow-up dressings etc. as deemed necessary; Surgical procedures are required for deep burns that are not amenable to heal with dressings alone.",60000
Burns Management,BM,Post Burn Contracture surgeries for Functional Improvement,BM006A,"Post Burn Contracture surgeries for Functional Improvement (Package including splints, pressure garments, silicone - gel sheet and physiotherapy): Excluding Neck contracture; Contracture release with - Split thickness Skin Graft (STSG) / Full Thickness Skin Graft (FTSG) / Flap cover is done for each joint with post - operative regular dressings for STSG / FTSG / Flap cover.",50000
Burns Management,BM,Post Burn Contracture surgeries for Functional Improvement,BM006B,"Post Burn Contracture surgeries for Functional Improvement (Package including splints, pressure garments,contracture release & split skin graft with or without flap reconstruction,silicone - gel sheet and physiotherapy): Neck contracture; Contracture release with - Split thickness Skin Graft (STSG) / 
Full Thickness Skin Graft (FTSG) / Flap cover is done for each joint with post-operative regular dressings for STSG / FTSG / Flap cover.",50000
Emergency Room Packages,ER,Laceration - Suturing / Dressing,ER001A,Laceration - Suturing / Dressing,2000
Primay Care,PHCnCHC,Laceration - Suturing / Dressing,ER001A,Laceration - Suturing / Dressing,2000
Emergency Room Packages,ER,Cardiopulmonary emergency,ER002A,"Emergency with stable
cardiopulmonary status",2000
Emergency Room Packages,ER,Cardiopulmonary emergency,ER002B,"Emergency with unstable cardiopulmonary status with
resuccitation",10000
Emergency Room Packages,ER,Animal bites (Excluding Snake Bite),ER003A,Animal bites (Excluding Snake Bite),1700
High-end Diagnostics,HD,Lymphangiography,HD001A,Lymphangiography,10920
High-end Diagnostics,HD,Diagnostic venography (DVA),HD002A,Diagnostic venography (DVA),5520
High-end Diagnostics,HD,IVUS(Intravascular Ultrasound)- peripheral vessels,HD003A,IVUS(Intravascular Ultrasound)- peripheral vessels,16560
High-end Diagnostics,HD,Diskography,HD004A,Diskography,5520
High-end Diagnostics,HD,USG guided percutaneous biopsy,HD005A,USG guided percutaneous biopsy,2520
High-end Diagnostics,HD,USG guided percutaneous FNAC,HD006A,USG guided percutaneous FNAC,720
High-end Diagnostics,HD,USG guided percutaneous needle aspiration,HD007A,USG guided percutaneous needle aspiration,720
High-end Diagnostics,HD,CT guided percutaneous biopsy,HD008A,CT guided percutaneous biopsy,3720
High-end Diagnostics,HD,CT guided percutaneous FNAC,HD009A,CT guided percutaneous FNAC,3120
High-end Diagnostics,HD,CT guided percutaneous needle aspiration,HD010A,CT guided percutaneous needle aspiration,3120
High-end Diagnostics,HD,Genetic workup,HD011A,Genetic workup,20000
High-end Diagnostics,HD,Metabolic work up,HD012A,Metabolic work up,30000
High-end Diagnostics,HD,Vedio EEG Monitoring Test (VEEG),HD013A,Vedio EEG Monitoring Test (VEEG),3600
High end Medicine,HM,Recombinant tissue plasminogen activator,HM001A,Recombinant tissue plasminogen activator- 0.9 mg/kg (not to exceed 90 mg total treatment dose) infused over 60 minutes.,42000
High end Medicine,HM,Tenecteplase,HM002A,Tenecteplase - 0.2 mg/kg given as a bolus dose over 1-2min volume of TNK to be administered at a dilution of 2mg/ml,24900
High end Medicine,HM,Heparin,HM003A,Heparin - Based on weight and age of patient ,15000
High end Medicine,HM,Methylprednisolone,HM004A,Methylprednisolone - 0.117-1.66 mg/kg/day orally divided every 6-8 hours,25000
High end Medicine,HM,Erythropoeitin,HM005A,"Erythropoeitin - 5000 units-Rs700
10000 units-Rs1000",700
High end Medicine,HM,Liposomal amphotericin,HM006A,Liposomal amphotericin - for 2.5 Gm  dosage. @ 2500 per 50mg,125000
High end Medicine,HM,IVIG,HM007A,"IVIG - 3000 per GM @ 2 GM/Per Kg body weight. Almost 20 GM in adult dose.( Mx. Of 200000 , paid on actual utilization)",200000
High end Medicine,HM,IvIg for Kawasaki Disease,HM008A,IvIg for Kawasaki Disease - 0.4 gm/Kg body wt/day  ( price per gram),2000
High end Medicine,HM,IvIg for GB Syndrome,HM009A,IvIg for GB Syndrome - 2gm /Kg body weight ( price per gram),2000
High end Medicine,HM,IvIg for ITP,HM010A,IvIg for ITP - 1gm /Kg body weight                      ( price per gram),2000
High end Medicine,HM,Rituximab,HM011A, Rituximab - 500mg to 1 gm ( Price per 500mg/50ml box),7500
High end Medicine,HM,Human Albumin 20%,HM012A,Human Albumin 20% - 250-500ml (Price per 100ml infusion),6000
High end Medicine,HM,Albumin 5%,HM013A,Albumin 5% - 250-500ml (Price per 100ml infusion),3000
High end Medicine,HM,Imipenem,HM017A,Imipenem - 1gm147.57. 3 gm per day dose,7000
High end Medicine,HM,Meropenem,HM018A,Meropenem - 1gm 159.93.  3 gm Per day dose,7000
High end Medicine,HM,Piperacillin-Tazobactem,HM019A,Piperacillin-Tazobactem - 4.5gm 66.52. 4.5gm TDS per day dose,3000
High end Medicine,HM,Colistin,HM020A,Colistin - 1 MU 73.92. Dose 9 MU,7000
High end Medicine,HM,Vancomycin,HM021A,Vancomycin - 500mg 45.15. 2gm per day dose.,2100
High end Medicine,HM,Amphotericin deoxycholate,HM022A,Amphotericin deoxycholate - 50mg 121.06.,1000
High-end Procedures,HP,USG guided percutaneous Radiofrequency Ablation (RFA),HP001A,USG guided percutaneous Radiofrequency Ablation (RFA),26640
High-end Procedures,HP,USG guided percutaneous Microwave Ablation (MWA),HP002A,USG guided percutaneous Microwave Ablation (MWA),30640
High-end Procedures,HP,CT guided percutaneous Radiofrequency Ablation (RFA),HP003A,CT guided percutaneous Radiofrequency Ablation (RFA),29040
High-end Procedures,HP,CT guided percutaneous Microwave Ablation (MWA),HP004A,CT guided percutaneous Microwave Ablation (MWA),33040
High-end Procedures,HP,USG guided percutaneous catheter drainage,HP005A,USG guided percutaneous catheter drainage,5820
High-end Procedures,HP,CT guided percutaneous catheter drainage,HP006A,CT guided percutaneous catheter drainage,5820
High-end Procedures,HP,Cerebral angiogram under local anesthesia ,HP007A,Cerebral angiogram under local anesthesia ,5800
High-end Procedures,HP,Cerebral angiogram under general anesthesia ,HP008A,Cerebral angiogram under general anesthesia ,18900
High-end Procedures,HP,Spinal Angiogram under general anesthesia,HP009A,Spinal Angiogram under general anesthesia,18900
High-end Procedures,HP,Plasmapheresis,HP010A,Plasmapheresis,70000
General Medicine,MG,"Laboratory Tests for COVID-19 Infection (PCR)
(Reimbursement level for this package will be as per the ICMR guidelines, issued from time to time)",ID001A,Screening Test for COVID-19 Infection,230
Infectious Diseases,ID,"Laboratory Tests for COVID-19 Infection (PCR)
(Reimbursement level for this package will be as per the ICMR guidelines, issued from time to time)",ID001A,Screening Test for COVID-19 Infection,230
Primay Care,PHCnCHC,"Laboratory Tests for COVID-19 Infection (PCR)
(Reimbursement level for this package will be as per the ICMR guidelines, issued from time to time)",ID001A,Screening Test for COVID-19 Infection,230
General Medicine,MG,"Laboratory Tests for COVID-19 Infection (PCR)
(Reimbursement level for this package will be as per the ICMR guidelines, issued from time to time)",ID001B,Test for Confirmation of COVID-19 Infection,250
Infectious Diseases,ID,"Laboratory Tests for COVID-19 Infection (PCR)
(Reimbursement level for this package will be as per the ICMR guidelines, issued from time to time)",ID001B,Test for Confirmation of COVID-19 Infection,250
Primay Care,PHCnCHC,"Laboratory Tests for COVID-19 Infection (PCR)
(Reimbursement level for this package will be as per the ICMR guidelines, issued from time to time)",ID001B,Test for Confirmation of COVID-19 Infection,250
General Medicine,MG,Treatment of COVID-19 Infection,ID003A,Treatment of COVID-19 Infection,0
Infectious Diseases,ID,Treatment of COVID-19 Infection,ID003A,Treatment of COVID-19 Infection,0
Primay Care,PHCnCHC,Treatment of COVID-19 Infection,ID003A,Treatment of COVID-19 Infection,0
General Medicine,MG,Treatment of systemic fungal infections,ID005A,Treatment of systemic fungal infections,0
Infectious Diseases,ID,Treatment of systemic fungal infections,ID005A,Treatment of systemic fungal infections,0
Interventional Radiology,IR,Carotico-cavernous Fistula (CCF) embolization,IN001A,"Carotico-cavernous Fistula (CCF) embolization with coils.
[includes 5 coils, guide catheter, micro-catheter, micro-guidewire, general items]",150000
Interventional Neuroradiology,IN,Carotico-cavernous Fistula (CCF) embolization,IN001A,"Carotico-cavernous Fistula (CCF) embolization with coils.
[includes 5 coils, guide catheter, micro-catheter, micro-guidewire, general items]",150000
Interventional Radiology,IR,Carotico-cavernous Fistula (CCF) embolization,IN001B,"Carotid-cavernous Fistula (CCF) embolization with balloon (includes one balloon, guide catheter, micro-catheter, micro-
guidewire, general items)",106500
Interventional Neuroradiology,IN,Carotico-cavernous Fistula (CCF) embolization,IN001B,"Carotid-cavernous Fistula (CCF) embolization with balloon (includes one balloon, guide catheter, micro-catheter, micro-
guidewire, general items)",106500
Interventional Neuroradiology,IN,Dural AVMs / AVFs,IN001C,Dural AVMs (per sitting) with onyx,225000
Interventional Neuroradiology,IN,Dural AVMs / AVFs,IN001D,Dural AVFs (per sitting) with onyx,225000
Interventional Radiology,IR,Intracranial balloon angioplasty with stenting,IN002A,Intracranial balloon angioplasty with stenting,150000
Interventional Neuroradiology,IN,Intracranial balloon angioplasty with stenting,IN002A,Intracranial balloon angioplasty with stenting,150000
Interventional Neuroradiology,IN,Cerebral & Spinal AVM embolization - Using Histoacryl (per sitting),IN002B,"Spinal AVM embolization - Using Histoacryl 
(per sitting)",150000
Interventional Radiology,IR,Intracranial thrombolysis/ clot retrieval,IN003A,Intracranial thrombolysis / clot retrieval,227200
Interventional Neuroradiology,IN,Intracranial thrombolysis/ clot retrieval,IN003A,Intracranial thrombolysis / clot retrieval,227200
Interventional Radiology,IR,Balloon test occlusion,IN004A,Balloon test occlusion,70000
Interventional Neuroradiology,IN,Carotico-cavernous Fistula (CCF) embolization,IN004B,"Carotid-cavernous Fistula (CCF) embolization with balloon 
(includes one balloon, guide catheter, micro-catheter, micro-guidewire, general items)",96000
Interventional Radiology,IR,Primary percutaneous transhepatic biliary stenting (SEMS),IN006A,Primary percutaneous transhepatic biliary stenting (SEMS),40520
Interventional Radiology,IR,Percutaneous cholangioplasty,IN007A,Percutaneous cholangioplasty,12160
Interventional Radiology,IR,Hepatic venous wedge pressure measurement (HVPG),IN008A,Hepatic venous wedge pressure measurement (HVPG),13920
Interventional Radiology,IR,Tunnelled long-term venous catheter,IN009A,Tunnelled long-term venous catheter,11640
Interventional Radiology,IR,Parent vessel occlusion - Basic,IR005A,Parent vessel occlusion - Basic,30000
Interventional Radiology,IR,Percutaneous transhepatic biliary stenting (SEMS) after prior PTBD,IR006B,Percutaneous transhepatic biliary stenting (SEMS) after prior PTBD,28360
Interventional Radiology,IR,Tunelled longterm indwelling catheter for refractory ascites/pleural effusion,IR010A,Tunelled longterm indwelling catheter for refractory ascites/pleural effusion,19000
Interventional radiology,IR,Peripherally inserted central catheter (PICC),IR011A,Peripherally inserted central catheter (PICC),10200
Interventional radiology,IR,Chemoport/implantable lines,IR012A,Chemoport/implantable lines,11640
Interventional radiology,IR,Percutaneous nephrostomy,IR013A,Percutaneous nephrostomy,17640
Interventional radiology,IR,Primary percutaneous antegrade uretric stenting,IR014A,Primary percutaneous antegrade uretric stenting,19340
Interventional radiology,IR,Percutaneous antegrade uretric stenting after prior PCN,IR015A,Percutaneous antegrade uretric stenting after prior PCN,13220
Interventional radiology,IR,Lymphatic occlusion of chylous leak,IR016A,Lymphatic occlusion of chylous leak,17020
Interventional radiology,IR,PVA embolization,IR017A,PVA embolization (without microcatheter),12640
Interventional Radiology,IR,PVA embolization,IR017B,PVA embolization (with microcatheter),30400
Interventional radiology,IR,Glue embolization ,IR018A,Glue embolization (without microcatheter),20160
Interventional radiology,IR,Glue embolization ,IR018B,Glue embolization (with microcatheter),32360
Interventional radiology,IR,Gelfoam embolization,IR019A,Gelfoam embolization (without microcatheter),11640
Interventional radiology,IR,Gelfoam embolization,IR019B,Gelfoam embolization (with microcatheter),23480
Interventional radiology,IR,Coil embolization,IR020A,Coil embolization (without microcatheter),15980
Interventional Radiology,IR,Coil embolization,IR020B,Coil embolization (with microcatheter),30340
Interventional radiology,IR,Alcohol embolisation,IR021A,Alcohol embolisation,23480
Interventional radiology,IR,Vascular plug assisted embolization,IR022A,Vascular plug assisted embolization,39280
Interventional Radiology,IR,Angioplasty (arterial),IR023A,Angioplasty (arterial),28720
Interventional Radiology,IR,Angioplasty (arterial),IR023B,Angioplasty (arterial) using microguidewire and guiding catheter,44560
Interventional Radiology,IR,Angioplasty (arterial),IR023C,Angioplasty and bare metal stenting (arterial),38520
Interventional Radiology,IR,Angioplasty (arterial),IR023D,Angioplasty and bare metal stenting (arterial) CTO lesion ,60880
Interventional Radiology,IR,Angioplasty (arterial),IR023E,Angioplasty and covered stent placement (arterial),71200
Interventional Radiology,IR,Catheter directed thrombolysis (arterial/venous),IR024A,Catheter directed thrombolysis (arterial/venous),50100
Interventional radiology,IR,Thrombectomy followed by thrombolysis (arterial/venous),IR025A,Thrombectomy followed by thrombolysis (arterial/venous),62100
Interventional radiology,IR,Angioplasty (venous),IR026A,Angioplasty (venous),28600
Interventional Radiology,IR,Angioplasty (venous),IR026B,Angioplasty and stenting hepatic vein ,71300
Interventional Radiology,IR,Angioplasty and bare metal stenting (venous),IR026C,Angioplasty and bare metal stenting (venous),50400
Interventional Radiology,IR,Angioplasty (venous),IR026D,Angioplasty (IVC/central vein) with high pressure balloon,66200
Interventional Radiology,IR,Angioplasty (venous),IR026E,Angioplasty and covered stent placement (venous),64100
Interventional radiology,IR,Angioplasty-Below knee angioplasty,IR027A,Angioplasty  Below knee angioplasty,75700
Interventional radiology,IR,Angioplasty (complex): cutting balloon/drug coated balloon,IR028A,Angioplasty (complex): cutting balloon/drug coated balloon,75500
Interventional radiology,IR,Angioplasty with medicated SFA stent /Specialised stent  (arterial) CTO lesion ,IR029A,Angioplasty with medicated SFA stent /Specialised stent  (arterial) CTO lesion ,338100
Interventional radiology,IR,Angioplasty (central vein/ CIV ) with high pressure balloon Aand specilaised venous stent ,IR030A,Angioplasty (central vein/ CIV ) with high pressure balloon and specilaised venous stent ,236100
Interventional radiology,IR,Fenestration of dissecting aneurysm,IR031A,Fenestration of dissecting aneurysm,42400
Interventional radiology,IR,TEVAR for aortic aneurysm/ dissection,IR032A,TEVAR for aortic aneurysm/ dissection,95200
Interventional radiology,IR,Post EVAR endoleak management ,IR033A,Post EVAR endoleak management ,31000
Interventional radiology,IR,IVC filter placement ,IR034A,IVC filter placement ,22100
Interventional Radiology,IR,IVC filter placement with Catheter directed thrombolysis (arterial/venous),IR034B,IVC filter placement with Catheter directed thrombolysis (arterial/venous),41100
Interventional Radiology,IR,IVC filter retrieval ,IR034C,IVC filter retrieval ,16400
Interventional radiology,IR,Retrieval of intravascular foreign body,IR035A,Retrieval of intravascular foreign body,19200
Interventional Radiology,IR,Joint/ bursa intervention,IR036A,Joint/ bursa intervention,7900
Interventional radiology,IR,Sacroiliac joint denervation ,IR037A,Sacroiliac joint denervation ,21500
Interventional radiology,IR,Facet joint intra-articular intervention- CS/Thoracic/LS,IR038A,Facet joint intra-articular intervention- CS/Thoracic/LS,7900
Interventional radiology,IR,Median branch rhizotomy- CS/Thoracic/LS,IR039A,Median branch rhizotomy- CS/Thoracic/LS,21500
Interventional radiology,IR,Radiofrequency ablation-Trigeminal nerve/genicular nerve /celiac plexus /stellate Ganglion/sympathetic nerve (any branch) ,IR040A,Radiofrequency ablation-Trigeminal nerve/genicular nerve /celiac plexus /stellate Ganglion/sympathetic nerve (any branch) ,21500
Interventional radiology,IR,PRP -suprascapular /tennis elbow/other tendon,IR041A,PRP -suprascapular /tennis elbow/other tendon,7900
Interventional radiology,IR,Percutaneous Discotomy/nucleotomy using laser or nucleuotome,IR042A,Percutaneous Discotomy/nucleotomy using laser or nucleuotome,19200
Interventional radiology,IR,Neural foraminal block,IR043A,Neural foraminal block,7900
Interventional radiology,IR,Radiofrequency Ablation (RFA) of bone tumor /metastases/osteoid osteoma,IR044A,Radiofrequency Ablation (RFA) of bone tumor /metastases/osteoid osteoma,36200
Interventional radiology,IR,Microwave ablation of bone tumor /osteoid osteoma,IR045A,Microwave ablation of bone tumor /osteoid osteoma,45300
Interventional radiology,IR,Stroke-Stent Retreiver,IR046A,Stroke-Stent Retreiver,330600
Interventional Radiology,IR,Stroke-Aspiration Catheter,IR046B,Stroke-Aspiration Catheter,352500
Interventional radiology,IR,Intervention for Acute stroke (Aspiration & stent retrieval),IR047A,Intervention for Acute stroke (Aspiration & stent retrieval),500000
Interventional radiology,IR,Endovascular therapy for intracranial aneurysm,IR048A,Aneurysm-3 Coil,156000
Interventional Radiology,IR,Endovascular therapy for intracranial aneurysm,IR048B,Aneurysm-5 Coil,307200
Interventional Radiology,IR,Endovascular therapy for intracranial aneurysm,IR048C,Aneurysm-7 Coil,365400
Interventional Radiology,IR,Endovascular therapy for intracranial aneurysm,IR048D,3 Coil + Balloon,174200
Interventional Radiology,IR,Endovascular therapy for intracranial aneurysm,IR048E,5 Coil + Balloon ,392400
Interventional Radiology,IR,Endovascular therapy for intracranial aneurysm,IR048F,3 Coil + Balloon+Stent ,251500
Interventional Radiology,IR,Endovascular therapy for intracranial aneurysm,IR048G,5 Coil + Balloon+Stent,500000
Interventional Radiology,IR,Endovascular therapy for intracranial aneurysm,IR048H,7 Coil + Balloon+Stent ,500000
Interventional radiology,IR,Arteriovenous fistula (AVF)/Arteriovenous Malformation (AVM) ,IR049A,Pial AVF (Single hole),136800
Interventional radiology,IR,Arteriovenous fistula (AVF)/Arteriovenous Malformation (AVM) ,IR049B,AVF,148200
Interventional radiology,IR,Arteriovenous fistula (AVF)/Arteriovenous Malformation (AVM) ,IR049C,AVM (nidus upto 3 cm),178000
Interventional radiology,IR,Carotid angioplasty & stenting,IR050A,Carotid stenting,142000
Interventional radiology,IR,Carotid angioplasty & stenting,IR050B,Carotid stenting-membrane layered,200700
Interventional radiology,IR,Intracranial stenting for Intracranial atheroscelorosis disease (ICAD),IR051A,Intracranial stenting for Intracranial atheroscelorosis disease (ICAD),500000
Interventional radiology,IR,Dural sinus stenting ,IR052A,Dural sinus stenting ,151000
Interventional radiology,IR,Carotid stenting with protection device,IR053A,Carotid stenting with protection device,236200
Interventional radiology,IR,Vasospasm management-post coiling/clipping  (Cost per session),IR054A,Vasospasm management-post coiling/clipping  (Cost per session),91900
Interventional radiology,IR,Retinoblastoma package,IR055A,Retinoblastoma under GA,102400
Interventional radiology,IR,Percutaneous cholecystostomy,IR056A,Percutaneous cholecystostomy,25100
Interventional radiology,IR,PAIR / percutaneous sclerotherapy for Hydatid cyst,IR057A,PAIR / percutaneous sclerotherapy for Hydatid cyst,10400
Interventional radiology,IR,Oesophageal /gastric / duodenal / colonic stenting/balloon dilatation,IR058A,Oesophageal /gastric / duodenal / colonic stenting/balloon dilatation,27100
Interventional radiology,IR,Transjugular Liver biopsy,IR059A,Transjugular Liver biopsy,20000
Interventional radiology,IR,Percutaneous gastrostomy,IR060A,Percutaneous gastrostomy,9000
Interventional radiology,IR,Transarterial chemoembolization,IR061A,Transarterial chemoembolization - conventional (cTACE),68200
Interventional Radiology,IR,Transarterial chemoembolization,IR061B,Transarterial chemoembolization - Drug eluting beads (DEB-TACE),58500
Interventional radiology,IR,Transjugular intrahepatic portosystemic shunt creation (TIPSS)/Direct transjugular Intrahepatic Portosystemic shunt(DIPSS),IR062A,Transjugular intrahepatic portosystemic shunt creation (TIPSS)/Direct transjugular Intrahepatic Portosystemic shunt(DIPSS),107600
Interventional radiology,IR,Balloon-occluded retrograde transvenous obliteration (BRTO),IR063A,Balloon-occluded retrograde transvenous obliteration (BRTO),57900
Interventional radiology,IR,Plug-assisted retrograde transvenous obliteration (PARTO),IR064A,Plug-assisted retrograde transvenous obliteration (PARTO),65400
Interventional radiology,IR,Pre-operative portal vein embolization,IR065A,Pre-operative portal vein embolization,37900
Interventional radiology,IR,USG guided percutaneous ganglion/plexus block (Neuronolysis),IR066A,USG guided percutaneous ganglion/plexus block (Neuronolysis),13000
Interventional radiology,IR,CT guided percutaneous ganglion/plexus block (Neuronolysis),IR067A,CT guided percutaneous ganglion/plexus block (Neuronolysis),16400
Interventional radiology,IR,Vertebroplasty/Cementoplasty,IR068A,Vertebroplasty/Cementoplasty,31300
Interventional radiology,IR,Kyphoplasty,IR069A,Kyphoplasty,45100
Interventional radiology,IR,Vaccum assisted breast biopsy,IR070A,Vaccum assisted breast biopsy,12100
Interventional radiology,IR,USG guided percutaneous Microwave Ablation (MWA)- benign breast /thyroid tumor,IR071A,USG guided percutaneous Microwave Ablation (MWA)- benign breast /thyroid tumor,41900
Interventional radiology,IR,Diagnostic angiography (DSA),IR072A,Diagnostic angiography (DSA),9900
Interventional radiology,IR,Varicose vein: endovenous treatment (for one limb),IR073A,Varicose vein: endovenous treatment (for one limb),17500
Interventional radiology,IR,Percutaneous Injection sclerotherapy for low flow vascular malformation,IR074A,Percutaneous Injection sclerotherapy for low flow vascular malformation,13000
Interventional radiology,IR,Varicocele embolization,IR075A,Varicocele embolization,25800
Interventional radiology,IR,Fistuloplasty / Thrombectomy of dialysis fistula,IR076A,Fistuloplasty / Thrombectomy of dialysis fistula,46100
Interventional radiology,IR,EVOH Package,IR077A,AVM (1 vial),152400
Interventional Radiology,IR,EVOH Package,IR077B,AVM (3 vial),152400
Interventional Radiology,IR,EVOH Package,IR077C,AVM (5 vial),152400
Interventional radiology,IR,Tumor Embolization,IR078A,Tumor Embolization ,102300
Cardiology,MC,Right / Left Heart Catheterization,MC001A,Right Heart Catheterization,10000
Cardiology,MC,Right / Left Heart Catheterization,MC001B,Left Heart Catheterization,10000
Cardiology,MC,Catheter directed Thrombolysis,MC002A,For Deep vein thrombosis (DVT),43800
Interventional Radiology,IR,Catheter directed Thrombolysis,MC002A,For Deep vein thrombosis (DVT),43800
Cardiology,MC,Catheter directed Thrombolysis,MC002B,For Mesenteric Thrombosis,43800
Interventional Radiology,IR,Catheter directed Thrombolysis,MC002B,For Mesenteric Thrombosis,43800
Cardiology,MC,Catheter directed Thrombolysis,MC002C,For Peripheral vessels,43800
Interventional Radiology,IR,Catheter directed Thrombolysis,MC002C,For Peripheral vessels,43800
Cardiology,MC,Balloon Dilatation,MC003A,Coarctation of Aorta,0
Cardiology,MC,Balloon Dilatation,MC003B,Pulmonary Artery Stenosis,0
Cardiology,MC,Balloon Pulmonary / Aortic Valvotomy,MC004A,Balloon Pulmonary Valvotomy,0
Cardiology,MC,Balloon Pulmonary / Aortic Valvotomy,MC004B,Balloon Aortic Valvotomy,0
Cardiology,MC,Balloon Mitral Valvotomy,MC005A,Balloon Mitral Valvotomy,90700
Cardiology,MC,Balloon Atrial Septostomy,MC006A,Balloon Atrial Septostomy,24400
Cardiology,MC,ASD Device Closure,MC007A,ASD Device Closure,98900
Cardiology,MC,VSD Device Closure,MC008A,VSD Device Closure,109900
Cardiology,MC,PDA Device Closure,MC009A,PDA Device Closure,62600
Cardiology,MC,PDA stenting,MC010A,PDA stenting,40260
Cardiology,MC,"PTCA, inclusive of diagnostic angiogram",MC011A,"PTCA, inclusive of diagnostic angiogram",32132
